发送时间：2018-03-27 22:10:54 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:成功接收到数据：{"cpu_count": 1, "asset_type": "server", "os_distribution": "Microsoft", "physical_disk_driver": [{"slot": 0, "capacity": 465, "model": "WDC WD5000LPVT-08G33T1 ATA Device", "sn": "     WD-WX21A53Y9747", "iface_type": "unknown", "manufacturer": "(\u6807\u51c6\u78c1\u76d8\u9a71\u52a8\u5668)"}], "os_type": "Windows", "manufacturer": "LENOVO", "cpu_core_count": 2, "os_release": "10 64bit  10.0.16299 ", "ram": [{"sn": "960E2F02", "slot": "ChannelA-DIMM0", "manufacturer": "0000", "capacity": 2, "model": "\u7269\u7406\u5185\u5b58"}, {"sn": "000AE51F", "slot": "ChannelB-DIMM0", "manufacturer": "Transcend", "capacity": 4, "model": "\u7269\u7406\u5185\u5b58"}], "model": "20207", "cpu_model": "Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz", "sn": "00329-00000-00003-AA188", "wake_up_type": 6, "nic": [{"net_mask": "", "ip_address": "", "name": 1, "mac": "3C:97:0E:AB:37:5F", "model": "[00000001] Realtek PCIe GBE Family Controller"}, {"net_mask": ["255.255.255.0", "64"], "ip_address": "192.168.16.1", "name": 2, "mac": "00:50:56:C0:00:01", "model": "[00000002] VMware Virtual Ethernet Adapter for VMnet1"}, {"net_mask": ["255.255.0.0", "64"], "ip_address": "169.254.38.127", "name": 3, "mac": "00:50:56:C0:00:08", "model": "[00000003] VMware Virtual Ethernet Adapter for VMnet8"}, {"net_mask": ["255.255.255.0", "64"], "ip_address": "192.168.1.103", "name": 4, "mac": "BC:85:56:DD:91:32", "model": "[00000004] Broadcom 802.11n \u7f51\u7edc\u9002\u914d\u5668"}, {"net_mask": "", "ip_address": "", "name": 5, "mac": "BE:85:56:DD:91:32", "model": "[00000005] Microsoft Wi-Fi Direct Virtual Adapter"}, {"net_mask": "", "ip_address": "", "name": 12, "mac": "D8:E8:20:52:41:53", "model": "[00000012] WAN Miniport (IP)"}, {"net_mask": "", "ip_address": "", "name": 13, "mac": "DC:4E:20:52:41:53", "model": "[00000013] WAN Miniport (IPv6)"}, {"net_mask": "", "ip_address": "", "name": 14, "mac": "DC:4E:20:52:41:53", "model": "[00000014] WAN Miniport (Network Monitor)"}]} 
发送时间：2018-03-27 22:15:21 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:成功接收到数据：None 
发送时间：2018-03-27 22:19:32 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:成功接收到数据：None 
发送时间：2018-03-27 22:19:51 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:成功接收到数据：{"asset_type": "server", "ram": [{"model": "\u7269\u7406\u5185\u5b58", "capacity": 2, "slot": "ChannelA-DIMM0", "sn": "960E2F02", "manufacturer": "0000"}, {"model": "\u7269\u7406\u5185\u5b58", "capacity": 4, "slot": "ChannelB-DIMM0", "sn": "000AE51F", "manufacturer": "Transcend"}], "wake_up_type": 6, "os_release": "10 64bit  10.0.16299 ", "model": "20207", "manufacturer": "LENOVO", "cpu_model": "Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz", "os_distribution": "Microsoft", "os_type": "Windows", "sn": "00329-00000-00003-AA188", "physical_disk_driver": [{"capacity": 465, "sn": "     WD-WX21A53Y9747", "iface_type": "unknown", "model": "WDC WD5000LPVT-08G33T1 ATA Device", "slot": 0, "manufacturer": "(\u6807\u51c6\u78c1\u76d8\u9a71\u52a8\u5668)"}], "cpu_count": 1, "nic": [{"model": "[00000001] Realtek PCIe GBE Family Controller", "name": 1, "net_mask": "", "mac": "3C:97:0E:AB:37:5F", "ip_address": ""}, {"model": "[00000002] VMware Virtual Ethernet Adapter for VMnet1", "name": 2, "net_mask": ["255.255.255.0", "64"], "mac": "00:50:56:C0:00:01", "ip_address": "192.168.16.1"}, {"model": "[00000003] VMware Virtual Ethernet Adapter for VMnet8", "name": 3, "net_mask": ["255.255.0.0", "64"], "mac": "00:50:56:C0:00:08", "ip_address": "169.254.38.127"}, {"model": "[00000004] Broadcom 802.11n \u7f51\u7edc\u9002\u914d\u5668", "name": 4, "net_mask": ["255.255.255.0", "64"], "mac": "BC:85:56:DD:91:32", "ip_address": "192.168.1.103"}, {"model": "[00000005] Microsoft Wi-Fi Direct Virtual Adapter", "name": 5, "net_mask": "", "mac": "BE:85:56:DD:91:32", "ip_address": ""}, {"model": "[00000012] WAN Miniport (IP)", "name": 12, "net_mask": "", "mac": "D8:E8:20:52:41:53", "ip_address": ""}, {"model": "[00000013] WAN Miniport (IPv6)", "name": 13, "net_mask": "", "mac": "DC:4E:20:52:41:53", "ip_address": ""}, {"model": "[00000014] WAN Miniport (Network Monitor)", "name": 14, "net_mask": "", "mac": "DC:4E:20:52:41:53", "ip_address": ""}], "cpu_core_count": 2} 
发送时间：2018-03-27 23:01:23 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
发送时间：2018-03-27 23:10:19 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
发送时间：2018-03-27 23:10:43 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
发送时间：2018-03-27 23:11:54 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
发送时间：2018-03-27 23:23:03 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！
发送时间：2018-03-28 21:14:31 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：失败:HTTP Error 500: Internal Server Error 
发送时间：2018-03-28 21:16:15 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：失败:HTTP Error 500: Internal Server Error 
发送时间：2018-03-28 21:16:43 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:12:19 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:12:19 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:13:00 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:13:00 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:13:16 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:13:16 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:14:06 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:14:06 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:18:28 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-28 22:18:28 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-29 23:59:31 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-29 23:59:31 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-30 00:02:58 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-30 00:02:59 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-30 00:03:17 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
测试发送时间：2018-03-30 00:03:17 	 测试服务器地址：http://127.0.0.1:8000/asset/report/ 	 测试返回结果：成功:资产已经加入或更新待审批区！ 
